Date;Price 
06/05/2022;1886.2
05/05/2022;1879
04/05/2022;1872.1
03/05/2022;1873.9
02/05/2022;1867
29/04/2022;1915.1
28/04/2022;1894.8
27/04/2022;1888.7
26/04/2022;1904.1
25/04/2022;1896
22/04/2022;1934.3
21/04/2022;1948.2
20/04/2022;1955.6
19/04/2022;1959
18/04/2022;1986.4
14/04/2022;1974.9
13/04/2022;1984.7
12/04/2022;1976.1
11/04/2022;1948.2
08/04/2022;1945.6
07/04/2022;1937.8
06/04/2022;1923.1
05/04/2022;1927.5
04/04/2022;1934
01/04/2022;1923.7
31/03/2022;1954
30/03/2022;1939
29/03/2022;1915.2
28/03/2022;1942.3
25/03/2022;1956.9
24/03/2022;1964.9
23/03/2022;1940.2
22/03/2022;1924.4
21/03/2022;1932.5
18/03/2022;1931.7
17/03/2022;1946
16/03/2022;1911.9
15/03/2022;1932.6
14/03/2022;1963.4
11/03/2022;1987.6
10/03/2022;2002.9
09/03/2022;1990.7
08/03/2022;2046.3
07/03/2022;1998.7
04/03/2022;1968.9
03/03/2022;1938.1
02/03/2022;1924.6
01/03/2022;1945.3
28/02/2022;1902.2
25/02/2022;1889.2
24/02/2022;1926.3
23/02/2022;1910.4
22/02/2022;1907.4
21/02/2022;1907.4
18/02/2022;1899.8
17/02/2022;1902
16/02/2022;1871.5
15/02/2022;1856.2
14/02/2022;1869.4
11/02/2022;1842.1
10/02/2022;1837.4
09/02/2022;1836.6
08/02/2022;1827.9
07/02/2022;1821.8
04/02/2022;1807.8
03/02/2022;1804.1
02/02/2022;1810.3
01/02/2022;1801.5
31/01/2022;1796.4
28/01/2022;1786.6
27/01/2022;1794.2
26/01/2022;1831
25/01/2022;1854.1
24/01/2022;1843.4
21/01/2022;1833.5
20/01/2022;1844.3
19/01/2022;1844.7
18/01/2022;1814.1
17/01/2022;1812.4
14/01/2022;1818.3
13/01/2022;1823.3
12/01/2022;1829.1
11/01/2022;1820.4
10/01/2022;1800.7
07/01/2022;1799.3
06/01/2022;1791
05/01/2022;1826.6
04/01/2022;1815.8
03/01/2022;1801.1
31/12/2021;1829.7
30/12/2021;1815.3
29/12/2021;1805.8
28/12/2021;1810.9
27/12/2021;1808.8
23/12/2021;1811.7
22/12/2021;1802.2
21/12/2021;1788.7
20/12/2021;1794.6
17/12/2021;1804.9
16/12/2021;1798.2
15/12/2021;1764.5
14/12/2021;1772.3
13/12/2021;1788.3
10/12/2021;1784.8
09/12/2021;1776.7
08/12/2021;1785.5
07/12/2021;1784.7
06/12/2021;1779.5
03/12/2021;1783.9
02/12/2021;1762.7
01/12/2021;1784.3
30/11/2021;1776.5
29/11/2021;1785.2
26/11/2021;1786.9
25/11/2021;1785.5
24/11/2021;1785.6
23/11/2021;1785.1
22/11/2021;1807.7
19/11/2021;1852.9
18/11/2021;1862.7
17/11/2021;1871.5
16/11/2021;1855.4
15/11/2021;1868
12/11/2021;1869.7
11/11/2021;1865.2
10/11/2021;1849.5
09/11/2021;1832
08/11/2021;1829.2
05/11/2021;1818
04/11/2021;1794.7
03/11/2021;1765.1
02/11/2021;1790.6
01/11/2021;1796.9
29/10/2021;1784.9
28/10/2021;1803.6
27/10/2021;1798.8
26/10/2021;1793.4
25/10/2021;1806.8
